ORGANIZATION	AWARDS	FUNDING	CITY	STATE
FORSYTH INSTITUTE	20	8752534	CAMBRIDGE	MA
FORT LEWIS COLLEGE	1	272600	DURANGO	CO
FOUNDATION FOR AIDS RESEARCH	2	2941605	NEW YORK	NY
FOUNDATION FOR APPLIED MOLECULAR EVOLUTN	4	1036704	GAINESVILLE	FL
"FOUR TIGERS, LLC"	1	313568	PARIS	KY
FOX CHASE CANCER CENTER	1	253024	PHILADELPHIA	PA
"FOX CHASE CHEMICAL DIVERSITY CENTER, INC"	4	2560120	DOYLESTOWN	PA
FRANKLIN AND MARSHALL COLLEGE	1	278490	LANCASTER	PA
FRANKLIN INSTITUTE	1	236198	PHILADELPHIA	PA
FRAUNHOFER CENTER /MANUFACTURING INNOV	2	1090203	BROOKLINE	MA
FRED HUTCHINSON CAN RES CTR	269	199131915	SEATTLE	WA
"FRIENDS RESEARCH INSTITUTE, INC."	9	4006098	BALTIMORE	MD
"FRONTIER SCI & TECHNOLOGY RSCH FDN, INC"	4	12254071	BOSTON	MA
"FU ASSOCIATES, LTD."	1	157278	ARLINGTON	VA
FURMAN UNIVERSITY	1	323150	GREENVILLE	SC
"G1 THERAPEUTICS, INC."	3	1310951	CHAPEL HILL	NC
"GALAXY BIO, INC."	1	154350	MONMOUTH JUNCTION	NJ
GALENEA CORPORATION	1	575438	CAMBRIDGE	MA
"GATACA, LLC"	1	705108	NEWPORT	VA
GEISINGER CLINIC	9	3905083	DANVILLE	PA
"GENALYTE, INC."	2	1224338	SAN DIEGO	CA
"GENAPSYS, INC."	1	1034574	Menlo Park	CA
"GENE THERAPY SYSTEMS, INC."	1	143253	SAN DIEGO	CA
"GENEFLUIDICS, INC."	1	989486	IRWINDALE	CA
GENERAL ELECTRIC GLOBAL RESEARCH CTR	8	5931205	NISKAYUNA	NY
"GENESEARCH, INC."	2	265625	BOZEMAN	MT
"GENESEGUES, INC."	2	500000	CHASKA	MN
"GENESYS RESEARCH INSTITUTE, INC."	3	1898143	BOSTON	MA
GENETIC INFORMATION RESEARCH INSTITUTE	1	522644	MOUNTAIN VIEW	CA
GENETIVISION CORPORATION	1	1458991	HOUSTON	TX
GENEVA FOUNDATION	5	3314257	Tacoma	WA
"GENOMAS, INC."	1	192734	HARTFORD	CT
GENOMEX	1	182864	CARY	NC
"GENOMICS USA, INC."	2	1012132	TUCSON	AZ
"GENVEC, INC."	2	589058	GAITHERSBURG	MD
GEORGE MASON UNIVERSITY	23	6111815	FAIRFAX	VA
GEORGE WASHINGTON UNIVERSITY	79	75697472	WASHINGTON	DC
GEORGETOWN UNIVERSITY	1	42232	WASHINGTON	DC
GEORGETOWN UNIVERSITY	116	47848705	WASHINGTON	DC
GEORGIA REGENTS UNIVERSITY	105	44725995	AUGUSTA	GA
GEORGIA INSTITUTE OF TECHNOLOGY	68	22218571	ATLANTA	GA
GEORGIA SOUTHERN UNIVERSITY	5	1479789	STATESBORO	GA
GEORGIA STATE UNIVERSITY	53	20457240	ATLANTA	GA
GEORGIA TECH APPLIED RESEARCH CORP	1	177172	ATLANTA	GA
"GEOVAX, INC."	1	276690	SMYRNA	GA
GERONTOLOGICAL SOCIETY OF AMERICA	2	79926	WASHINGTON	DC
GETTYSBURG COLLEGE	1	298480	GETTYSBURG	PA
"GIGAGEN, INC."	1	1135200	SAN FRANCISCO	CA
"GINER, INC."	2	374732	NEWTON	MA
"GINKGO BIOWORKS, INC."	1	150000	Boston	MA
"GISMO THERAPEUTICS, INC."	1	197137	HOWARD BEACH	NY
GLOBAL ALLIANCE FOR TB DRUG DEVELOPMENT	1	422979	NEW YORK	NY
GLOBAL HIV VACCINE ENTERPRISE	1	1077813	NEW YORK	NY
"GLOBAL VACCINES, INC."	1	532884	RESEARCH TRIANGLE PARK	NC
"GLOBEIMMUNE, INC."	1	1000000	LOUISVILLE	CO
"GLOTECH, INC."	1	374383	ROCKVILLE	MD
"GLSYNTHESIS, INC."	2	1358080	WORCESTER	MA
"GLUCOSENTIENT, INC."	2	329749	CHAMPAIGN	IL
"GLYCAN THERAPEUTICS, LLC"	1	299447	CHAPEL HILL	NC
"GLYCOBAC, LLC"	1	302429	LARAMIE	WY
"GLYCOBIA, INC."	2	497208	ITHACA	NY
"GLYCOHUB, INC."	1	298447	WOODLAND	CA
"GLYCOMIRA, LLC"	1	814843	SALT LAKE CITY	UT
"GLYCOSCIENTIFIC, LLC"	1	301575	ATHENS	GA
"GLYCOSENSORS AND DIAGNOSTICS, LLC"	2	1547715	ATHENS	GA
"GNUBIO, INC."	1	1471683	Cambridge	MA
GORDON RESEARCH CONFERENCES	89	1181867	WEST KINGSTON	RI
"GRADIENT BIOMODELING, LLC"	1	350000	PARK CITY	UT
GRAHAM JOHNSON	1	175000	SANBORNTON	NH
GRAMBLING STATE UNIVERSITY	1	330514	GRAMBLING	LA
"GRAMERCY RESEARCH GROUP, LLC"	1	755972	WINSTON SALEM	NC
GREAT LAKES NEUROTECHNOLOGIES	5	3516837	Valley View	OH
GREAT LAKES SCIENCE CENTER	1	255698	CLEVELAND	OH
GREENVILLE HOSPITAL SYSTEM	1	913669	GREENVILLE	SC
GREENWOOD GENETIC CENTER	3	993596	GREENWOOD	SC
"GRIFFIN LABORATORIES, INC."	1	474275	TEMECULA	CA
GROUP HEALTH COOPERATIVE	31	18822184	SEATTLE	WA
"GRYPHON SCIENTIFIC, LLC"	1	152771	BEVERLY	MA
"GUILD ASSOCIATES, INC."	1	203666	DUBLIN	OH
GUNDERSEN LUTHERAN MEDICAL FOUNDATION	1	445370	LA CROSSE	WI
GUTTMACHER INSTITUTE	3	455091	NEW YORK	NY
GVD CORPORATION	2	598489	CAMBRIDGE	MA
GYNECOLOGIC ONCOLOGY GROUP	3	13056414	CROFTON	MD
"H AND N INSTRUMENTS, INC."	1	150000	NEWARK	OH
H. LEE MOFFITT CANCER CTR & RES INST	75	31572367	TAMPA	FL
HACKENSACK UNIVERSITY MEDICAL CENTER	3	783106	HACKENSACK	NJ
"HAGER BIOSCIENCES, INC."	1	374488	BETHLEHEM	PA
"HAGER SHARP, INC."	1	2985893	WASHINGTON	DC
HAMILTON COLLEGE	1	145214	CLINTON	NY
HAMPTON UNIVERSITY	6	2317490	HAMPTON	VA
"HAPLOMICS, INC."	1	184545	ATLANTA	GA
"HARLAN LABORATORIES, INC."	1	806082	INDIANAPOLIS	IN
"HARMONIA HOLDINGS GROUP, LLC"	1	457491	BLACKSBURG	VA
HARTFORD HOSPITAL	3	1461460	HARTFORD	CT
"HARVARD PILGRIM HEALTH CARE, INC."	11	4966964	BOSTON	MA
HARVARD UNIVERSITY	124	51828312	CAMBRIDGE	MA
HARVARD UNIVERSITY (MEDICAL SCHOOL)	388	185223961	BOSTON	MA
HARVARD UNIVERSITY (SCH OF PUBLIC HLTH)	188	115870367	BOSTON	MA
"HASKINS LABORATORIES, INC."	10	6388859	NEW HAVEN	CT
HAUPTMAN-WOODWARD MEDICAL RESEARCH INST	5	2594518	BUFFALO	NY
"HAWAII BIOTECH, INC."	1	268909	AIEA	HI
HAWAII PACIFIC UNIVERSITY	2	159434	HONOLULU	HI
HEALIONICS CORPORATION	1	461247	SEATTLE	WA
"HEALTH DECISION TECHNOLOGIES, LLC"	1	471018	SHEBOYGAN	WI
"HEALTHCARE INTERACTIVE, INC."	3	1422296	Edina	MN
HEALTHCARE TECHNOLOGIES AND METHODS	1	223897	PURCELLVILLE	VA
HEALTHPARTNERS INSTITUTE	8	3366693	MINNEAPOLIS	MN
"HEART IMAGING TECHNOLOGIES, LLC"	2	1146007	DURHAM	NC
"HEARTHSTONE ALZHEIMER CARE, LTD"	2	1020379	WOBURN	MA
"HEARTVISTA, INC."	1	927643	LOS ALTOS	CA
"HEARTWARE, INC."	1	1729014	MIAMI LAKES	FL
HEBREW REHABILITATION CENTER FOR AGED	17	6716279	BOSTON	MA
HEKTOEN INSTITUTE FOR MEDICAL RESEARCH	5	4361477	CHICAGO	IL
HELEN HAYES HOSPITAL	3	872261	MENANDS	NY
"HELIXBIND, INC."	1	177629	BRIGHTON	MA
HEMATOLOGY-ONCOLOGY ASSOCIATES/CTL NY	1	518435	EAST SYRACUSE	NY
"HEMOSHEAR, LLC"	3	3213467	CHARLOTTESVILLE	VA
HEMOSONICS	1	1054277	CHARLOTTESVILLE	VA
HENRY FORD HEALTH SYSTEM	40	20213029	DETROIT	MI
HENRY M. JACKSON FDN FOR THE ADV MIL/MED	35	32559233	BETHESDA	MD
HEPATITIS B FOUNDATION	1	10000	DOYLESTOWN	PA
"HEPROTECH, INC."	1	160407	BOSTON	MA
HERBERT H. LEHMAN COLLEGE	4	693338	NEW YORK	NY
"HIGH THROUGHPUT GENOMICS, INC."	1	1012004	TUCSON	AZ
"HIGHLAND INSTRUMENTS, INC."	1	926055	CAMBRIDGE	MA
HOPE COLLEGE	1	240301	HOLLAND	MI
HOSPI CORPORATION	1	149760	CONCORD	CA
HOSPITAL FOR SPECIAL SURGERY	21	6672437	NEW YORK	NY
HOUSE RESEARCH INSTITUTE	13	4257230	LOS ANGELES	CA
HOUSEY PHARMACEUTICAL RESEARCH LAB	1	880003	SOUTHFIELD	MI
HOWARD UNIVERSITY	18	8290778	WASHINGTON	DC
HUDSON-ALPHA INSTITUTE FOR BIOTECHNOLOGY	8	8472909	HUNTSVILLE	AL
HUGO W. MOSER RES INST KENNEDY KRIEGER	35	16768529	BALTIMORE	MD
"HUMACYTE, INC."	1	998367	RESEARCH TRIANGLE PARK	NC
HUMMINGBIRD PRECISION MACHINE COMPANY	2	992149	LACEY	WA
HUNTER COLLEGE	36	14470243	NEW YORK	NY
HUNTINGTON MEDICAL RESEARCH INSTITUTES	3	983233	PASADENA	CA
"HYGIEIA RESEARCH, LLC"	1	749529	ANN ARBOR	MI
"HYPER TECH RESEARCH, INC."	1	636544	COLUMBUS	OH
IAS	1	650000	WASHINGTON	DC
IBM THOMAS J. WATSON RESEARCH CENTER	2	483649	YORKTOWN HEIGHTS	NY
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI	6	10954745	NEW YORK	NY
"ICF, INC., LLC"	1	985354	FAIRFAX	VA
"ICHOR MEDICAL SYSTEMS, INC."	1	1	SAN DIEGO	CA
IDAHO STATE UNIVERSITY	1	366056	POCATELLO	ID
IDAHO VETERANS RESEARCH / EDUCATION FDN	1	204920	BOISE	ID
"IFIT PROSTHETICS, LLC"	1	308096	Pewaukee	WI
"IFYBER, LLC"	1	197095	ITHACA	NY
"IGI TECHNOLOGIES, INC."	2	937008	ELKRIDGE	MD
"IHC HEALTH SERVICES, INC."	4	618937	SALT LAKE CITY	UT
IIT RESEARCH INSTITUTE	7	2176134	CHICAGO	IL
ILLINOIS INSTITUTE OF TECHNOLOGY	9	7592106	CHICAGO	IL
ILLINOIS STATE UNIVERSITY	3	1059576	NORMAL	IL
IMAGINATION SOFTWARE CORPORATION	1	559351	BUFFALO	NY
"IMAGINATION STATION, INC."	1	375000	Dallas	TX
"IMBIO, LLC"	2	294245	MINNEAPOLIS	MN
"IMMERSIVETOUCH, INC."	1	452435	WESTMONT	IL
"IMMPORT THERAPEUTICS, INC."	2	1080873	IRVINE	CA
"IMMUMETRIX, LLC"	1	267693	PALO ALTO	CA
IMMUNE DEFICIENCY FOUNDATION	1	557098	TOWSON	MD
"IMMUNETICS, INC."	5	2651517	BOSTON	MA
"IMMUNEXCITE, INC."	1	276059	WATERTOWN	MA
"IMMUNEXT, INC."	3	1588916	LEBANON	NH
"IMMUNOMEDICS, INC."	3	1551985	MORRIS PLAINS	NJ
"IMMUNO-MYCOLOGICS, INC."	2	591065	NORMAN	OK
"IMMUNOTOPE, INC."	2	1368880	DOYLESTOWN	PA
IMMURX LLC	1	864478	LEBANON	NH
"IMMUVEN, INC."	1	683418	CHAMPAIGN	IL
"IMPEL NEUROPHARMA, INC."	1	346264	NORMANDY PARK	WA
IMQUEST BIOSCIENCES	2	3942172	FREDERICK	MD
"IN CYTU, INC."	1	981388	LINCOLN	RI
"IN VITRO STRATEGIES, LLC"	1	64004	FLEMINGTON	NJ
"INBIOS INTERNATIONAL, INC."	1	299699	SEATTLE	WA
"INDEVR, INC."	2	1280000	BOULDER	CO
INDIANA UNIVERSITY BLOOMINGTON	94	27233276	BLOOMINGTON	IN
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS	312	105607977	INDIANAPOLIS	IN
INDOOR BIOTECHNOLOGIES	1	184266	CHARLOTTESVILLE	VA
INFECTIOUS DISEASE RESEARCH INSTITUTE	5	2163163	SEATTLE	WA
"INFINITE BIOMEDICAL TECHNOLOGIES, LLC"	1	800000	BALTIMORE	MD
"INFLEXXION, INC."	3	2253302	NEWTON	MA
"INFORMATION MANAGEMENT SERVICES, INC."	5	10207675	Calverton	MD
"INFORMED HORIZONS, LLC"	2	40000	Tucker	GA
"INFOTECH SOFT, INC."	1	594036	MIAMI	FL
INHIBIKASE THERAPEUTICS	1	300000	Atlanta	GA
"INNEROPTIC TECHNOLOGY, INC."	1	547270	HILLSBOROUGH	NC
"INNOLIGN BIOMEDICAL, LLC"	2	385467	PHILADELPHIA	PA
"INNOSENSE, LLC"	1	249999	TORRANCE	CA
"INNOVATION RESEARCH AND TRAINING, INC."	4	1395357	DURHAM	NC
"INNOVATIVE BIOTHERAPIES, INC."	2	1057332	ANN ARBOR	MI
INNOVATIVE CHEMICAL/ENVIRONMENTAL TECH	2	291314	NORWOOD	MA
"INNOVATIVE ELEMENTS, LLC"	1	665015	Englewood Cliffs	NJ
"INNOVATIVE SURFACE TECHNOLOGIES, INC."	3	746223	ST. PAUL	MN
"INSCENT, INC."	1	149404	IRVINE	CA
"INSCOPIX, INC."	1	366475	PALO ALTO	CA
"INSERT, INC."	1	216225	MADISON	WI
"INSIGHT GENETICS, INC."	2	2999402	NASHVILLE	TN
INSILICOS	1	72751	SEATTLE	WA
"INSILIXA, INC."	1	299795	SUNNYVALE	CA
"INSTARECON, INC."	1	555578	URBANA	IL
INSTITUTE FOR BASIC RES IN DEV DISABIL	2	347332	STATEN ISLAND	NY
INSTITUTE FOR COMMUNITY RESEARCH	2	492623	HARTFORD	CT
INSTITUTE FOR FAMILY HEALTH	1	89169	NEW YORK	NY
INSTITUTE FOR HEPATITIS & VIRUS RESEARCH	1	199269	DOYLESTOWN	PA
INSTITUTE FOR NEURODEGENERATIVE DISORDRS	1	38224	NEW HAVEN	CT
INSTITUTE FOR RARE/NEGLECTED DISEASES	1	276901	BELMONT	CA
INSTITUTE FOR SYSTEMS BIOLOGY	6	6475171	SEATTLE	WA
INSTITUTE FOR TRANSFUSION MEDICINE	1	2884691	PITTSBURGH	PA
"INTAN TECHNOLOGIES, LLC"	1	184817	LOS ANGELES	CA
INTEGRAL MOLECULAR	2	1896501	PHILADELPHIA	PA
"INTEGRATED BIOTHERAPEUTICS, INC."	4	1138349	Gaithersburg	MD
"INTEGRATED LABORATORY SYSTEMS, INC."	6	6709603	RESEARCH TRIANGLE PARK	NC
"INTEGRATED SENSING SYSTEMS, INC. (ISSYS)"	1	609256	YPSILANTI	MI
"INTEGRATIVE BIOINFORMATICS, INC."	1	192684	Mountain View	CA
INTEGRIS BAPTIST MEDICAL CENTER	1	250583	OKLAHOMA CITY	OK
"INTEL FEDERAL, LLC"	1	1193750	FAIRFAX	VA
"INTELLIGENT AUTOMATION, INC."	2	300000	ROCKVILLE	MD
"INTELLIGENT BIO-SYSTEMS, INC."	2	1755705	WALTHAM	MA
INTELLIGENT FIBER OPTIC SYSTEMS CORP	1	494820	SANTA CLARA	CA
INTELLIGENT HEARING SYSTEMS	1	150000	MIAMI	FL
"INTELLIGENT OPTICAL SYSTEMS, INC."	4	1607410	TORRANCE	CA
"INTELLIGENT PROSTHETIC SYSTEMS, LLC"	1	149555	ANN ARBOR	MI
"INTELLISPEAK, LLC"	1	704478	LAWRENCE	KS
INTERACTIVE MEDIA INSTITUTE	1	24992	SAN DIEGO	CA
"INTERAMERICAN HEART FOUNDATION, INC."	1	258366	DALLAS	TX
INTERNATION ASSN/ENVIR/MUTAGEN SOCIETIES	1	10000	RESTON	VA
INTERNATIONAL AIDS VACCINE INITIATIVE	2	2760465	NEW YORK	NY
INTERNATIONAL ASSOCIATION FIRE FIGHTERS	2	1403950	WASHINGTON	DC
INTERNATIONAL BROTHERHOOD OF TEAMSTERS	2	2448439	WASHINGTON	DC
INTERNATIONAL CANNABINOID RES SOCIETY	1	25000	WINSTON-SALEM	NC
INTERNATIONAL CHEMICAL WORKERS UNION	3	3057290	AKRON	OH
INTERNATIONAL COMPUTER SCIENCE INSTITUTE	1	175176	BERKELEY	CA
"INTERNATIONAL EOSINOPHIL SOCIETY, INC."	1	22500	MILWAUKEE	WI
INTERNATIONAL MAMMALIAN GENOME SOCIETY	1	36050	Chapel Hill	NC
INTERNATIONAL SOCIETY/EXPER HEMATOLOGY	1	15000	CHICAGO	IL
"INTERNATIONAL UNION, UAW OF AMER AFL-CIO"	1	601607	DETROIT	MI
"INTERNTL NARCOTICS RESEARCH CONF, INC."	1	49550	PITTSFORD	NY
"INTEZYNE TECHNOLOGIES, LLC"	1	139587	TAMPA	FL
"INTICA BIOMEDICAL, INC."	1	149799	LEXINGTON	MA
"INTRINSIC LIFESCIENCES, LLC"	1	364451	LA JOLLA	CA
"INVENUX, LLC"	2	839985	WINDSOR	CO
"INVIRAGEN, INC."	1	3183629	FORT COLLINS	CO
"INVIVOSCIENCES, INC."	1	1030123	MADISON	WI
"INVOTEK, INC."	1	179055	ALMA	AR
"INXSOL, LLC"	2	349999	PHOENIX	AZ
"ION CHANNEL INNOVATIONS, LLC"	1	537254	NEW YORK	NY
"IONFIELD SYSTEMS, LLC"	1	148850	MOORESTOWN	NJ
IONIC PHARMACEUTICALS	1	224475	BROOKLINE	MA
"IONWERKS, INC."	2	1717826	HOUSTON	TX
IOWA ONCOLOGY RESEARCH ASSOCIATION	1	747553	DES MOINES	IA
IOWA STATE UNIVERSITY	33	10760677	AMES	IA
"IQ ENGINES, INC."	1	499358	Berkeley	CA
"IQ SOLUTIONS, INC."	1	1174489	ROCKVILLE	MD
"IRIS MEDIA, INC."	4	1073216	EUGENE	OR
"IRISYS, INC."	1	283206	SAN DIEGO	CA
"IRON HORSE DIAGNOSTICS, INC."	1	165702	SCOTTSDALE	AZ
"IS3D, LLC"	2	849613	ATHENS	GA
"ISA ASSOCIATES, INC."	4	1747299	ALEXANDRIA	VA
"ISENSE, LLC"	2	1144615	WEST PALM BEACH	FL
"ISOMARK, LLC"	1	238507	MADISON	WI
"ISOTHERAPEUTICS GROUP, LLC"	1	694709	ANGLETON	TX
"ISS, INC."	1	208678	CHAMPAIGN	IL
ITHACA COLLEGE	1	111483	ITHACA	NY
IUOE NATIONAL TRAINING FUND	3	2577497	WASHINGTON	DC
"IXPRESSGENES, INC."	1	375000	HUNTSVILLE	AL
"J AND J SOLUTIONS, INC."	1	1014171	IOWA CITY	IA
"J. CRAIG VENTER INSTITUTE, INC."	18	13879971	ROCKVILLE	MD
J. DAVID GLADSTONE INSTITUTES	46	26575146	SAN FRANCISCO	CA
JACKSON LABORATORY	80	50850165	BAR HARBOR	ME
JACKSON STATE UNIVERSITY	10	6657384	JACKSON	MS
JACKSONVILLE UNIVERSITY	1	189339	JACKSONVILLE	FL
"JADEN BIOSCIENCE, INC."	1	51356	SAN DIEGO	CA
"JAEB CENTER FOR HEALTH RESEARCH, INC."	5	9001709	TAMPA	FL
"JARVIK HEART, INC."	1	733465	NEW YORK	NY
"JBS SCIENCE, INC."	1	681583	DOYLESTOWN	PA
"JERICHO SCIENCES, LLC"	1	345048	SPRINGFIELD	VA
JMML FOUNDATION	1	10000	SAN DIEGO	CA
"JOHN B. PIERCE LABORATORY, INC."	9	3978414	NEW HAVEN	CT
JOHN JAY COLLEGE OF CRIMINAL JUSTICE	2	1031050	NEW YORK	NY
JOHN WAYNE CANCER INSTITUTE	4	6914603	SANTA MONICA	CA
JOHNS HOPKINS UNIVERSITY	1281	574844637	BALTIMORE	MD
"JOHNSON, BASSIN AND SHAW, INC."	2	3961682	North Bethesda	MD
JOSLIN DIABETES CENTER	35	37642908	BOSTON	MA
JOUBERT SYNDROME/RELATED DISORDERS FDN	1	16000	ROCKVILLE	MD
"JPTECHNOLOGIES, INC."	1	150000	IRVINE	CA
JUDGE BAKER CHILDREN'S CENTER	6	2436670	BOSTON	MA
"JYANT, INC."	1	197171	MARIETTA	GA
"K AND A WIRELESS, LLC"	1	543767	ALBUQUERQUE	NM
"KAI RESEARCH, INC"	3	1853537	ROCKVILLE	MD
KAISER FOUNDATION RESEARCH INSTITUTE	67	36647504	OAKLAND	CA
KALAMAZOO COLLEGE	1	342321	KALAMAZOO	MI
KANSAS CITY CLINICAL ONCOLOGY PROGRAM	1	585600	Prairie Village	KS
KANSAS STATE UNIVERSITY	23	6401404	MANHATTAN	KS
"KAYO TECHNOLOGY, INC."	1	148230	Madison	WI
"KDH RESEARCH AND COMMUNICATION, INC."	5	1603794	ATLANTA	GA
KECK GRADUATE INST OF APPLIED LIFE SCIS	1	803134	CLAREMONT	CA
KEENE STATE COLLEGE	2	469832	KEENE	NH
KENNESAW STATE UNIVERSITY	2	579817	KENNESAW	GA
KENT STATE UNIVERSITY AT KENT	11	2992632	KENT	OH
"KENTUCKY IMAGING TECHNOLOGIES, LLC"	1	148821	LOUISVILLE	KY
"KERAMED, INC."	1	1011899	Sunnyvale	CA
"KERANETICS, LLC"	1	403612	WINSTON SALEM	NC
"KESSLER FOUNDATION, INC."	5	749514	WEST ORANGE	NJ
"KEY TECHNOLOGIES, INC."	1	676656	BALTIMORE	MD
KEYSTONE SYMPOSIA	32	636012	SILVERTHORNE	CO
"KINEMED, INC."	1	225087	EMERYVILLE	CA
"KINETA, INC."	1	798935	SEATTLE	WA
"KINETIC CERAMICS, INC."	1	200827	HAYWARD	CA
"KITWARE, INC."	9	3629648	CLIFTON PARK	NY
"KIYATEC, LLC"	1	294719	Greenville	SC
KIZOOM LABS	1	249337	EMERYVILLE	CA
"KLEIN BUENDEL, INC."	5	2237616	GOLDEN	CO
KORONIS BIOMEDICAL TECHNOLOGIES CORPORAT	2	955263	Maple Grove	MN
KUAKINI MEDICAL CENTER	3	646208	HONOLULU	HI
"L A BRUELL, INC."	1	487185	NEW YORK	NY
"L2 DIAGNOSTICS, LLC"	4	2604896	NEW HAVEN	CT
LA BIOMED RES INST/ HARBOR UCLA MED CTR	22	5156850	TORRANCE	CA
LA JOLLA BIOENGINEERING INSTITUTE	2	1714550	SAN DIEGO	CA
LA JOLLA INFECTIOUS DISEASE INSTITUTE	2	426806	SAN DIEGO	CA
LA JOLLA INST FOR ALLERGY & IMMUNOLGY	54	26164807	LA JOLLA	CA
"LABCYTE, INC."	1	992961	SUNNYVALE	CA
LAHEY CLINIC	2	273000	BURLINGTON	MA
LAKE SUPERIOR STATE UNIVERSITY	1	66019	SAULT SAINTE MARIE	MI
LANKENAU INSTITUTE FOR MEDICAL RESEARCH	5	1502454	WYNNEWOOD	PA
"LASER TISSUE WELDING, INC."	1	844348	HUMBLE	TX
LAUREATE INSTITUTE FOR BRAIN RESEARCH	3	978137	TULSA	OK
"LAUREATE LEARNING SYSTEMS, INC."	1	757099	WINOOSKI	VT
"LAU-YEU, LLC"	1	68900	SANTA FE	NM
"LEAP OF FAITH TECHNOLOGIES, INC."	1	414159	CRYSTAL LAKE	IL
LEHIGH UNIVERSITY	10	2992402	BETHLEHEM	PA
"LEUKOGENE THERAPEUTICS, INC."	1	224701	MORGANTOWN	PA
"LEUKOSIGHT, INC."	1	300000	COLLEGE PARK	MD
"LEVOS, LLC"	1	204976	Peper Pike	OH
"LEWIN GROUP, INC."	1	496440	FALLS CHURCH	VA
LEXINGTON BIOMEDICAL RESEARCH INSTITUTE	1	241371	LEXINGTON	KY
"LIBREDE, INC."	2	1131144	SHERMAN OAKS	CA
"LIEBER INSTITUTE, INC."	2	240983	BALTIMORE	MD
"LIFE BIOSCIENCE, INC."	1	299034	ALBUQUERQUE	NM
"LIFESENSORS, INC."	2	565740	MALVERN	PA
"LIGHT AGE, INC."	1	149963	SOMERSET	NJ
"LIGHTSPIN TECHNOLOGIES, INC."	1	500001	ENDWELL	NY
"LITRON LABORATORIES, LTD."	2	790204	ROCHESTER	NY
LIUNA TRAINING AND EDUCATION FUND	2	5009424	POMFRET CENTER	CT
"LIVERMORE INSTRUMENTS, INC."	1	295965	Oakland	CA
LNKCHEMSOLUTIONS	2	738282	LINCOLN	NE
"LODESPIN LABS, LLC"	1	580284	SEATTLE	WA
LOHOCLA RESEARCH CORPORATION	1	158234	AURORA	CO
LOMA LINDA UNIVERSITY	28	10265250	LOMA LINDA	CA
LOMA LINDA VETERANS ASSN RESEARCH & EDUC	3	1109610	REDLANDS	CA
LONG BEACH MEMORIAL MEDICAL CENTER	1	31770	LONG BEACH	CA
LONG ISLAND UNIVERSITY BROOKLYN CAMPUS	4	944189	GREENVALE	NY
LOS ALAMOS NAT SECTY-LOS ALAMOS NAT LAB	10	5630458	Los Alamos	NM
LOS GATOS RESEARCH	1	417042	MOUNTAIN VIEW	CA
LOUISIANA STATE UNIV A&M COL BATON ROUGE	33	14760405	BATON ROUGE	LA
LOUISIANA STATE UNIV AGRICULTURAL CENTER	3	677750	BATON ROUGE	LA
LOUISIANA STATE UNIV HSC SHREVEPORT	22	5882603	SHREVEPORT	LA
LOUISIANA STATE UNIV-UNIV OF NEW ORLEANS	1	237402	NEW ORLEANS	LA
LOUISIANA TECH UNIVERSITY	1	85979	RUSTON	LA
LOVELACE BIOMEDICAL & ENVIRONMENTAL RES	16	7620749	ALBUQUERQUE	NM
LOYOLA MARYMOUNT UNIVERSITY	2	303951	LOS ANGELES	CA
LOYOLA UNIVERSITY CHICAGO	66	19451796	MAYWOOD	IL
LOYOLA UNIVERSITY OF CHICAGO	4	335918	CHICAGO	IL
"LPATH THERAPEUTICS, INC."	1	145230	SAN DIEGO	CA
LSU HEALTH SCIENCES CENTER	73	23615123	NEW ORLEANS	LA
LSU PENNINGTON BIOMEDICAL RESEARCH CTR	45	16549727	BATON ROUGE	LA
"LUCERNA, INC."	1	211753	NEW YORK	NY
"LUCIDICOR, INC."	1	192034	BRANCHBURG	NJ
"LUCIFICS, INC."	1	64141	NORTH ANDOVER	MA
LUCIGEN CORPORATION	6	3171989	MIDDLETON	WI
LUDWIG INSTITUTE FOR CANCER RES LTD	16	8346016	LA JOLLA	CA
"LUMAMED, LLC"	1	288299	JOHNS CREEK	GA
"LUMETRICS, INC."	1	479441	ROCHESTER	NY
"LUMICELL DIAGNOSTICS, INC."	1	630952	WALTHAM	MA
LUMINEX CORPORATION	1	885357	AUSTIN	TX
"LUNA INNOVATIONS, INC."	5	1605514	ROANOKE	VA
LURIE CHILDREN'S HOSPITAL OF CHICAGO	27	9866503	CHICAGO	IL
"LYNNTECH, INC."	5	1567421	COLLEGE STATION	TX
"MABVAX THERAPEUTICS, INC."	1	249965	San Diego	CA
MACCONNELL RESEARCH CORPORATION	1	483057	SAN DIEGO	CA
"MACROGENICS, INC."	1	1185525	ROCKVILLE	MD
MADONNA REHABILITATION HOSPITAL	1	63678	LINCOLN	NE
"MAGARRAY, INC."	1	940623	Sunnyvale	CA
MAGEE-WOMEN'S RES INST AND FOUNDATION	30	21982346	PITTSBURGH	PA
"MAGNETIC RESONANCE INNOVATIONS, INC."	1	499997	DETROIT	MI
MAINE MEDICAL CENTER	14	6393814	PORTLAND	ME
MAINSTREAM ENGINEERING CORPORATION	1	149351	ROCKLEDGE	FL
"MANDALA BIOSCIENCES, LLC"	2	582458	SAN DIEGO	CA
"MANDALMED, INC."	1	299958	SAN FRANCISCO	CA
